,name,score,rank,popularity,members,date,channel
258,Kono Subarashii Sekai ni Shukufuku wo!,8.12,#421,#37,"1,686,241",Winter 2016,TV
259,Bleach,7.86,#775,#40,"1,640,701",Fall 2004,TV
260,Fairy Tail,7.59,#1370,#45,"1,576,429",Fall 2009,TV
261,Violet Evergarden,8.67,#58,#51,"1,492,618",Winter 2018,TV
262,Soul Eater,7.84,#809,#54,"1,457,675",Spring 2008,TV
263,Hataraku Maou-sama!,7.78,#923,#67,"1,353,769",Spring 2013,TV
264,Fate/Zero,8.29,#246,#68,"1,346,866",Fall 2011,TV
265,Fullmetal Alchemist,8.12,#418,#70,"1,346,103",Fall 2003,TV
266,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7.57,#1424,#71,"1,342,088",Spring 2015,TV
267,Overlord,7.92,#672,#72,"1,337,348",Summer 2015,TV
268,Black Clover,8.12,#411,#73,"1,333,001",Fall 2017,TV
269,Tate no Yuusha no Nariagari,8.02,#536,#74,"1,321,158",Winter 2019,TV
270,Kono Subarashii Sekai ni Shukufuku wo! 2,8.28,#259,#75,"1,303,609",Winter 2017,TV
271,Noragami Aragoto,8.17,#360,#76,"1,301,658",Fall 2015,TV
272,Tensei shitara Slime Datta Ken,8.13,#405,#89,"1,154,849",Fall 2018,TV
273,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.67,#59,#92,"1,129,146",NA,Movie
274,Made in Abyss,8.68,#53,#94,"1,124,760",Summer 2017,TV
275,Howl no Ugoku Shiro,8.66,#61,#96,"1,119,478",NA,Movie
276,Dragon Ball Z,8.15,#376,#100,"1,088,967",Spring 1989,TV
277,Mononoke Hime,8.68,#55,#101,"1,088,519",NA,Movie
278,Kobayashi-san Chi no Maid Dragon,8,#574,#103,"1,077,756",Winter 2017,TV
279,Kyoukai no Kanata,7.74,#1014,#110,"1,047,235",Fall 2013,TV
280,Log Horizon,7.95,#636,#114,"1,015,669",Fall 2013,TV
281,Citrus,6.47,#6501,#397,"452,351",Winter 2018,TV
282,Yuru Yuri,7.58,#1404,#603,"314,611",Summer 2011,TV
283,Yagate Kimi ni Naru,7.91,#706,#692,"281,496",Fall 2018,TV
284,Happy Sugar Life,6.82,#4697,#770,"253,923",Summer 2018,TV
285,Akuma no Riddle,6.61,#5732,#786,"249,307",Spring 2014,TV
286,Sakura Trick,6.98,#3983,#809,"241,471",Winter 2014,TV
287,Watashi ni Tenshi ga Maiorita!,7.31,#2436,#1093,"175,568",Winter 2019,TV
288,Mnemosyne: Mnemosyne no Musume-tachi,7.28,#2563,#1138,"169,089",Winter 2008,TV
289,Adachi to Shimamura,7.11,#3400,#1222,"157,446",Fall 2020,TV
290,Netsuzou TRap,5.35,#11274,#1324,"142,821",Summer 2017,TV
291,Konohana Kitan,7.52,#1620,#1363,"136,100",Fall 2017,TV
292,Strawberry Panic,7.29,#2550,#1417,"129,572",Spring 2006,TV
293,Valkyrie Drive: Mermaid,6.06,#8670,#1462,"124,435",Fall 2015,TV
294,Mai-HiME,7.43,#1916,#1624,"108,644",Fall 2004,TV
295,Uchi no Maid ga Uzasugiru!,6.91,#4312,#1640,"107,426",Fall 2018,TV
296,Urasekai Picnic,6.58,#5906,#1730,"101,014",Winter 2021,TV
297,Yuri Kuma Arashi,7.05,#3721,#1808,"94,080",Winter 2015,TV
298,Tonari no Kyuuketsuki-san,7.09,#3519,#1813,"93,476",Fall 2018,TV
299,Hidan no Aria AA,6.21,#7900,#1814,"93,469",Fall 2015,TV
300,Aoi Hana,7.12,#3381,#1851,"91,139",Summer 2009,TV
301,Asagao to Kase-san.,7.73,#1018,#1865,"89,893",NA,OVA
302,Mikagura Gakuen Kumikyoku (TV),6.69,#5335,#1953,"84,012",Spring 2015,TV
303,Inugami-san to Nekoyama-san,6.54,#6158,#2128,"72,335",Spring 2014,TV
304,Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,6.8,#4788,#2175,"70,273",NA,ONA
305,Sasameki Koto,7.07,#3609,#2231,"67,701",Fall 2009,TV
306,Yuru Yuri Nachuyachumi!,7.86,#771,#2239,"67,468",NA,OVA
307,Kannazuki no Miko,6.82,#4704,#2270,"65,677",Fall 2004,TV
308,Maria-sama ga Miteru,7.31,#2418,#2367,"61,001",Winter 2004,TV
309,Tachibanakan Triangle,5.6,#10492,#2392,"60,070",Spring 2018,TV
310,Yuru Yuri Nachuyachumi!+,7.78,#915,#2631,"50,504",NA,Special
311,Sono Hanabira ni Kuchizuke wo: Anata to Koibito Tsunagi,7.24,N/A,#2661,"49,653",NA,OVA
312,Kashimashi: Girl Meets Girl,6.64,#5607,#2737,"46,939",Winter 2006,TV
313,Shoujo Kakumei Utena: Adolescence Mokushiroku,7.62,#1297,#2773,"45,395",NA,Movie
314,Simoun,7.44,#1873,#3011,"39,374",Spring 2006,TV
315,Shokugeki no Souma,8.18,#350,#53,"1,471,088",Spring 2015,TV
316,Shokugeki no Souma: Ni no Sara,8.11,#436,#113,"1,015,874",Summer 2016,TV
317,Shokugeki no Souma: San no Sara,8.04,#507,#150,"860,480",Fall 2017,TV
318,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,7.99,#586,#257,"630,694",Spring 2018,TV
319,Shokugeki no Souma: Shin no Sara,7.75,#992,#343,"521,660",Fall 2019,TV
320,Shokugeki no Souma: Gou no Sara,7.32,#2359,#414,"437,447",Spring 2020,TV
321,Dagashi Kashi,6.61,#5740,#447,"407,138",Winter 2016,TV
322,Ben-To,7.22,#2874,#632,"302,943",Fall 2011,TV
323,Amaama to Inazuma,7.53,#1562,#690,"281,750",Summer 2016,TV
324,Isekai Shokudou,7.38,#2131,#940,"208,182",Summer 2017,TV
325,Osake wa Fuufu ni Natte kara,6.97,#4035,#1028,"186,063",Fall 2017,TV
326,Toradora!: Bentou no Gokui,7.44,#1878,#1173,"164,531",NA,Special
327,Shokugeki no Souma: Ni no Sara OVA,7.48,#1727,#1287,"147,158",NA,OVA
328,Dagashi Kashi 2,6.84,#4603,#1296,"145,851",Winter 2018,TV
329,Kakuriyo no Yadomeshi,7.52,#1616,#1358,"136,934",Spring 2018,TV
330,Toriko,7.53,#1590,#1535,"116,386",Spring 2011,TV
331,Emiya-san Chi no Kyou no Gohan,7.8,#884,#1579,"112,804",NA,ONA
332,Toradora!: SOS! Kuishinbou Banbanzai,6.4,#6906,#1725,"101,517",NA,Special
